vehicle_type,entry_exit,time_stayed,vehicle_number
car,1,0,2345
car,1,0,2222
car,1,0,4581
bike,1,0,7818
truck,1,0,1123
car,0,1.1,2345
car,0,1.5,4581
truck,1,0,7811
car,1,0,2222
car,1,0,9845
truck,0,0.5,7811
car,0,1.5,9845
bike,1,0,6565
car,1,0,2375
car,0,1.5,2375
car,1,0,5555
bike,0,1.5,6565
bike,1,0,1234
bike,0,3,7818
car,1,0,9999
car,0,1.5,9999
car,1,0,1111
bike,1,0,2222
car,1,0,3333
truck,1,0,4444
car,1,0,5555
car,1,0,2345
car,1,0,2222
car,1,0,4581
bike,1,0,7818
truck,1,0,1123
car,0,1.1,2345
car,0,1.5,4581
truck,1,0,7811
car,1,0,2222
car,1,0,9845
car,1,0,9999
car,0,1.5,9999
car,1,0,1111
bike,1,0,2222
car,1,0,3333
truck,1,0,4444
car,1,0,5555
car,1,0,2345
car,1,0,2222
car,1,0,4581
bike,1,0,7818
truck,1,0,1123
car,0,1.1,2345
car,0,1.5,4581
truck,1,0,7811
car,1,0,2222
car,1,0,2345
car,1,0,2222
car,1,0,4581
bike,1,0,7818
truck,1,0,1123
car,0,1.1,2345
car,0,1.5,4581
truck,1,0,7811
car,1,0,2222
car,1,0,9845
truck,0,0.5,7811
car,0,1.5,9845
bike,1,0,6565
car,1,0,2375
car,0,1.5,2375
car,1,0,2222
car,1,0,4581
bike,1,0,7818
truck,1,0,1123
car,0,1.1,2345
car,0,1.5,4581
truck,1,0,7811
car,1,0,2222
car,1,0,9845
truck,0,0.5,7811
car,0,1.5,9845
bike,1,0,6565
car,1,0,2375
car,0,1.5,2375
car,1,0,5555
bike,0,1.5,6565
bike,1,0,1234
bike,0,3,7818
car,1,0,9999
car,0,1.5,9999
car,1,0,1111
bike,1,0,2222
car,1,0,3333
truck,1,0,4444
car,1,0,5555
car,1,0,2345
car,1,0,2222
car,1,0,4581
bike,1,0,7818
truck,1,0,1123
car,0,1.1,2345
car,0,1.5,4581
truck,1,0,7811
car,1,0,2222
car,1,0,9845
car,1,0,9999
car,0,1.5,9999
car,1,0,1111
bike,1,0,2222
car,1,0,3333
truck,1,0,4444
car,1,0,5555
car,1,0,2345
car,1,0,2222
car,1,0,4581
bike,1,0,7818
truck,1,0,1123
car,0,1.1,2345
car,0,1.5,4581
truck,1,0,7811
car,1,0,2222
car,1,0,2345
car,1,0,2222
car,1,0,4581
bike,1,0,7818
truck,1,0,1123
car,0,1.1,2345
car,0,1.5,4581
truck,1,0,7811
car,1,0,2222
car,1,0,9845
truck,0,0.5,7811
car,0,1.5,9845
bike,1,0,6565
car,1,0,2375
car,0,1.5,2375
